abstract,author,n_cited,n_reference,paper,title,year
"The geometric phase visualization proposed by Bhandari (R Bhandari 1997 Phys. Rep. 281 1-64) in the ellipticity-ellipse orientation basis of the polarization ellipse of light is implemented to understand the geometric aspects of weak measurement. The weak interaction of a pre-selected state, acheived via spin-Hall effect of light (SHEL), results in a spread in the polarization ellipticity (eta) or ellipse orientation (chi) depending on the resulting spatial or angular shift, respectively. The post-selection leads to the projection of the eta spread in the complementary chi basis results in the appearance of a geometric phase with helical phase topology in the eta - chi parameter space. By representing the weak measurement on the Poincare sphere and using Jones calculus, the complex weak value and the geometric phase topology are obtained. This deeper understanding of the weak measurement process enabled us to explore the techniques' capabilities maximally, as demonstrated via SHEL in two examples-external reflection at glass-air interface and transmission through a tilted half-wave plate.","Samlan, CT; Viswanathan, NK",0,42,JOURNAL OF OPTICS,Geometric phase topology in weak measurement,2017
"Ray optics have proven to be an effcient and versatile tool to describe dielectric optical microcavities and their far-field emission based on the principle of ray-wave correspondence. Whereas often the well-known ray-optics at planar interfaces yields reasonable results, semiclassically and boundary-curvature induced corrections will become more important as the cavity size is further reduced. In this paper, we summarize the various ray optics descriptions of optical microresonators, in addition paying special attention to the differences that arise between chaotic versus non-chaotic (integrable or nearly integrable) resonator geometries, respectively. Whereas the far-field pattern in the chaotic case is known to be determined by the overlap of the unstable manifold with the leaky region, it results from the emission of trajectories with the smallest nonzero decay rates in the non-chaotic situation. We present an enhanced ray optical description, extended by wave-inspired (semiclassical) corrections, and discuss their consequences for the ray dynamics. In particular, we find clear indications for the presence of attractors resulting from the non-Hamiltonian character of the extended ray dynamics in phase space. We illustrate their impact on the far-field emission and show that it can considerably differ from the conventional ray description result.","Stockschlaeder, P; Hentschel, M",0,41,JOURNAL OF OPTICS,Consequences of a wave-correction extended ray dynamics for integrable and chaotic optical microcavities,2017
"Dipole interaction between spins induces a nonzero Berry curvature for magnons in ferromagnetic films, and this Berry curvature gives rise to various phenomena such as thermal Hall effect. In previous works, it has been calculated for magnons with dipole interaction only. Nevertheless, magnon dispersion is largely affected by the exchange interaction neglected in the previous works. In this paper, we calculated Berry curvature of magnons in ferromagnetic films with the dipole and exchange interactions. The resulting Berry curvature shows a sign change by varying the wave number, unlike that with the dipole interaction only. Besides, we calculate the Berry curvature at the anticrossings between magnon modes, and we find that hybridization between eigenmodes at anticrossings gives rise to a large peak in the Berry curvature. In addition, we calculate a shift of the magnon wave packet at the edge of the film coming from the Berry curvature, and it is enhanced at reflection at the anticrossing.","Okamoto, A; Murakami, S",0,36,PHYSICAL REVIEW B,Berry curvature for magnons in ferromagnetic films with dipole-exchange interactions,2017
"Spin waves (SWs) are promising information carriers which can be used in modern magnonic devices, characterized by higher performance and lower energy consumption than presently used electronic circuits. However, before practical application of SWs, the efficient control over SW amplitude and phase needs to be developed. We analytically analyze reflection and refraction of the SWs at the interface between two ferromagnetic (FM) materials. In the model, we consider the system consisting of two semi-infinite FM media, separated by the ultra-narrow interface region with the magnetic anisotropy. We have found the Goos-Hanchen (GH) shift for SWs in transmission and reflection, and performed detailed investigations of its dependence on the anisotropy at the interface and materials surrounding the interface. We have demonstrated the possibility of obtaining CH shift of several wavelengths in reflection for realistic material parameters. That proves the possibility for change of the SWs phase in FM materials at sub-wavelength distances, which can be regarded as a metasurface for magnonics.","Mailyan, M; Gruszecki, P; Gorobets, O; Krawczyk, M",0,24,IEEE TRANSACTIONS ON MAGNETICS,Goos-Hanchen Shift of a Spin-Wave Beam at the Interface Between Two Ferromagnets,2017
"In this paper, we discuss the phase management of Goos-Hanchen (GH) shifts of a probe light through a cavity with a single-layer graphene nanostructure under a strong magnetic field. By using the quantum mechanical density matrix formalism we study the GH shifts of reflected and transmitted light beams. It is realized that negative or positive GH shifts can be achieved simultaneously by tuning some controllable parameters such as relative phase and the Rabi frequency of the applied fields. Moreover, the thickness effect of the cavity structure is considered as an effective parameter for adjusting the GH shifts of reflected and transmitted light beams. We find that by choosing suitable parameters, a maximum negative shift of 4.5 mm and positive shift of 5.4 mm are possible for GH shifts in reflected and transmitted light. Our proposed model may be useful for developing all-optical devices in the infrared region.","Solookinejad, G; Jabbari, M; Panahi, M; Sangachin, EA",0,44,LASER PHYSICS,Phase manipulation of Goos-Hanchen shifts in a single-layer of graphene nanostructure under strong magnetic field,2017
"In this work, we theoretically study the Goos-Hanchen effect of the reflected and transmitted light in an epsilonnear- zero (ENZ) slab. For a lossless ENZ slab, it is found that the Goos-Hanchen shifts are greatly enhanced near resonances for both TE-and TM-polarized beams, which is approximately inverse to the sufficiently small (but finite) value of permittivity. In a lossy ENZ slab, the reflected and transmitted GH shifts are different near resonances, and there are large negative GH shifts for the reflected beam and large positive shifts in the transmitted beam, and the detailed properties are discussed. There is similar behavior near the Brewster angle for TMpolarized light in both the lossy and lossless ENZ slabs. Compared with the results in the semi-infinite ENZ structure, our results may provide the richer control on the GH shifts in ENZ slabs and are potentially useful to design the ENZ-based optical devices. (C) 2017 Optical Society of America","Wen, JS; Zhang, JX; Wang, LG; Zhu, SY",0,31,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,Goos-Hanchen shifts in an epsilon-near-zero slab,2017
"We propose a simple method for the precise identification of graphene layers at the air-prism interface via a pseudo-Brewster angle, where the horizontally polarized reflection is close to zero. We find that the pseudo-Brewster angle is sensitive to the variation of graphene layers where the pseudo-Brewster angle is approximately linearly increased about 0.5 deg as the layer numbers increased. Furthermore, the sensitivity of the pseudo-Brewster angle can be greatly enhanced and reaches 0.04 deg by eliminating the influence of the cross-polarization effect. Our scheme can provide a simple and effective method to identify the layer numbers of graphene. (C) 2017 Optical Society of America","Mi, CQ; Chen, SZ; Wu, WJ; Zhang, WS; Zhou, XX; Ling, XH; Shu, WX; Luo, HL; Wen, SC",0,33,OPTICS LETTERS,Precise identification of graphene layers at the air-prism interface via a pseudo-Brewster angle,2017
"We theoretically predict a giant quantized Goos-Hanchen (GH) effect on the surface of graphene in the quantum Hall regime. The giant quantized GH effect manifests itself as an angular shift whose quantized step reaches the order of mrad for light beams impinging on a graphene-on-substrate system. The quantized GH effect can be attributed to quantized Hall conductivity, which corresponds to the discrete Landau levels in the quantum Hall regime. We find that the quantized step can be greatly enhanced for incident angles near the Brewster angle. Moreover, the Brewster angle is sensitive to the Hall conductivity, and therefore the quantized GH effect can be modulated by the Fermi energy and the external magnetic field. The giant quantized GH effect offers a convenient way to determine the quantized Hall conductivity and the discrete Landau levels by a direct optical measurement.","Wu, WJ; Chen, SZ; Mi, CQ; Zhang, WS; Luo, HL; Wen, SC",0,60,PHYSICAL REVIEW A,Giant quantized Goos-Hanchen effect on the surface of graphene in the quantum Hall regime,2017
"The Goos-Hanchen (GH) shift of light beam incident on graphene ribbon array is investigated by Green's function method. Due to the resonance effects of leaky surface plasmons on ribbons, the zeroth-order reflection field shows both giant positive and negative GH shifts. By tuning the graphene Fermi level, we can control the shift conveniently. This effect is important to graphene-based metasurface and electro-optical devices. (C) 2017 Optical Society of America","Zeng, XD; Al-Amri, M; Zubairy, MS",1,46,OPTICS EXPRESS,Tunable Goos-Hanchen shift from graphene ribbon array,2017
"We present a theoretical investigation of the Goos-Hanchen effect, i.e., the lateral shift of the light beam transmitted through one-dimensional biperiodic multilayered photonic systems consisting of equidistantmagnetic layers separated by finite size dielectric photonic crystals. We show that the increase of the number of periods in the photonic-magnonic structure leads to increase of the Goos-Hanchen shift in the vicinity of the frequencies of defect modes located inside the photonic band gaps. Presence of the linear magnetoelectric coupling in the magnetic layers can result in a vanishing of the positive maxima of the cross-polarized contribution to the Goos-Hanchen shift.","Dadoenkova, YS; Dadoenkova, NN; Klos, JW; Krawczyk, M; Lyubchanskii, IL",1,67,PHYSICAL REVIEW A,Goos-Hanchen effect in light transmission through biperiodic photonic-magnonic crystals,2017
"Optical beam shift is related to external conditions. Here, optical spot position and the polarization properties of the totally polarized, P-polarized, and S-polarized laser beams reflected from an aluminum film as a function of the external direct current (DC) voltage are measured by a Slit Beam Profiler and a polarimeter. The results show that the optical beam shift of the totally polarized laser beam and the S-polarized laser beam jumps from 500 to 590 mu m, and -10 to 70 mu m, respectively, at different critical pressures, when the external DC value changes from 0 to 2.5V, while the optical beam shift of the P-polarized laser beam is small and has no jump. The degree of linear polarization of different polarized laser beams cannot change, while the degree of circular polarization of different polarized laser beams changes as a function of the external DC voltage value.","Jiao, XB; Bai, X; Zhao, XW; Hao, RR; Pan, Q",0,23,PHYSICA STATUS SOLIDI A-APPLICATIONS AND MATERIALS SCIENCE,Optical beam shift induced by direct current,2017
"We propose and demonstrate the weak measurement scheme to simultaneously measure the amplified angular and spatial contributions to the Goos-Hanchen (GH) and Imbert-Fedorov (IF) shifts, due to transmission through a glass plate. We have studied two cases of post-selection using a polarizer in the first case and a quarter-wave plate (QWP)-polarizer combination in the second case. The two cases are analyzed theoretically using Jones calculus of polarization formalism and the results are verified experimentally. In the first case of post-selection, the projection of the polarizer at. +/-Delta away from the crossed position amplifies the angular GH and IF shifts, while in the second case of post-selection, the projection of QWP at +/-Delta and polarizer kept fixed measures the polarization ellipticity in the beam and thus amplifies the spatial shift along with the angular shift simultaneously, for Delta << 1.","Prajapati, C; Viswanathan, NK",0,35,JOURNAL OF OPTICS,Simultaneous weak measurement of angular and spatial Goos-Hanchen and Imbert-Fedorov shifts,2017
"We propose a method for controlling the Imbert-Fedorov(IF) shifts of a reflected beam at a graphene-coated chiral metamaterial(CMM) interface, where graphene's chemical potential, the CMM's chirality parameter and the permittivity of dielectric at interface serve as external tunable stimuli to control the IF shifts. The spatial IF(SIF) shift and angular IF(AIF) shift are formulated by the reflection coefficients. The numerical results indicate that for p-polarized incident beam, the IF shifts can be controlled efficiently near the pseudo-Brewster angle through the chemical potential, and that both the high-permittivity dielectric and low-chirality CMM can bring about a broad shift modulation. Actually, the existence of graphene reduces the SIF shifts, but it can play a crucial role in the shift modulation. The above results might be helpful in exploiting various tunable terahertz-wave devices. (C) 2017 Elsevier B.V. All rights reserved.","Xu, GD; Sun, J; Mao, HM; Pan, T",0,57,PHYSICS LETTERS A,Active control of Imbert-Fedorov shifts with graphene-coated chiral metamaterials,2017
We study and examine the Goos-Hanchen shifts of a propagating probe light field in a four-level tripodtype cold and hot atomic medium. The behavior of Goos-Hanchen shifts is studied in reflection and transmission beams in the presence of the coherent Kerr effect and the Doppler broadening effect. We observe that these shifts can be controlled by the relative propagation direction of the control field to that of the probe field.,"Iqbal, H; Idrees, M; Javed, M; Bacha, BA; Khan, S; Ullah, SA",0,33,JOURNAL OF RUSSIAN LASER RESEARCH,Goos-Hanchen Shift from Cold and Hot Atomic Media Using Kerr Nonlinearity,2017
"We analyze and compare the angular deviations for an optical beam reflected by and transmitted through a dielectric triangular prism. The analytic expressions derived for the angular deviations hold for arbitrary incidence angles. For incidence approaching the internal and external Brewster angles, the angular deviations transverse magnetic waves present the same behavior leading to the well-known giant Goos-Hanchen angular shift. For incidence near the critical angle a new region of large shift is seen both for transverse magnetic and transverse electric waves. While a direct measuring procedure is better in the vicinity of the Brewster region, a weak measurement breaks off the giant Goos-Hanchen effect, preserving the amplification in the critical region. We discuss under which conditions it is possible to optimize the amplification and we also determine when a weak measurement is preferred to a direct measuring procedure.","Araujo, MP; De Leo, S; Maia, GG",0,44,ANNALEN DER PHYSIK,Optimizing Weak Measurements to Detect Angular Deviations,2017
We present a theoretical investigation of the angular Goos-Hanchen shift (GHS) of a Gaussian light beam upon reflection from a multilayered structure consisting of a nematic liquid crystal (LC) cell sandwiched between electrodes and deposited on a magneto-electric/non-magnetic bilayer. We show that the angular GHS can be enhanced and controlled both via a voltage applied to the LC cell and a magnetization reversal in the magneto-electric film. We describe the principle of an optical sensor of chemical vapors in the vicinity of the structure based on the voltage-induced tunability of the angular GHS.,"Dadoenkova, YS; Bentivegna, FFL; Petrov, RV; Bichurin, MI",1,35,JOURNAL OF OPTICS,Principle of tunable chemical vapor detection exploiting the angular Goos-Hanchen shift in a magneto-electric liquid-crystal-based system,2017
"Evanescent waves are ubiquitous at interfaces with optical, seismic or acoustic waves, and also with electron, neutron or atom beams. Newton was the first to suspect that both small time delays and spatial shifts exist during total internal reflection. However, these effects are so tiny that the spatial shifts were only observed in 1947 in optics, whereas the time delay values predicted by the Wigner model in the 10(-14) s range in optics had to await femtosecond lasers to be detected with difficulty. The spatial shifts have been isolated in many areas but the time delays, though fundamental, generally remain out of reach, particularly with particles. In textbooks usually both quantities are supposed to be simply linked. Here we report, using swivelling detectors, that the spatial and temporal measurements are intimately intermingled, especially in the so-called cyclical regime. Indeed, while the spatial shift does not depend on the type of detection, the measured time delay can be positive, negative or zero, but controllable. We also discuss how such intricate measurements of spatial and temporal effects allow crucial time penalties to be eliminated in guided soliton propagation, and should be used to unambiguously identify the Newton-Wigner time delays for particles.","Le Floch, A; Emile, O; Ropars, G; Agrawal, GP",0,40,SCIENTIFIC REPORTS,Dynamics and detection of the Newton-Wigner time delays at interfaces using a swivelling method,2017
"Metasurface serves as a promising plasmonic sensing platform for engineering the enhanced light-matter interactions. Here, a hyperbolic metasurface with the nanogroove structure in the subwavelength scale is designed. This metasurface is able to modify the wavefront and wavelength of surface plasmon wave with the variation of the nanogroove width or periodicity. At the specific optical frequency, surface plasmon polaritons are tightly confined and propagated with a diffraction-free feature due to the epsilon-near-zero effect. Most importantly, the groove hyperbolic metasurface can enhance the plasmonic sensing with an ultrahigh phase sensitivity of 30 373 deg RIU-1 and Goos-Hanchen shift sensitivity of 10.134 mm RIU-1. The detection resolution for refractive index change of glycerol solution is achieved as 10(-8) RIU based on the phase measurement. The detection limit of bovine serum albumin (BSA) molecule is measured as low as 0.1 x 10(-18) m (1 x 10(-19) mol L-1), which corresponds to a submolecular detection level (0.13 BSA mm(-2)). As for low-weight biotin molecule, the detection limit is estimated below 1 x 10(-15) m (1 x 10(-15) mol L-1, 1300 biotin mm(-2)). This enhanced plasmonic sensing performance is two orders of magnitude higher than those with current state-of-art plasmonic metamaterials and metasurfaces.","Jiang, L; Zeng, SW; Xu, ZJ; Ouyang, QL; Zhang, DH; Chong, PHJ; Coquet, P; He, SL; Yong, KT",1,32,SMALL,Multifunctional Hyperbolic Nanogroove Metasurface for Submolecular Detection,2017
"The Goos-Hanchen (GH) shifts due to a negative refractive index in double quantum-dot nanostructures are discussed in reflected and transmitted light beams. It is realized that positive and negative GH shifts can be attained in the negative-refraction medium due to the presence of the indirect incoherent pumping field and electron tunneling. We found that the lateral shift at the fixed incident angle can be enhanced (positive or negative) under suitable conditions on the control field, without changing the structure of the cavity. We hope that our proposed configuration may be helpful for future all-optical sensor devices based on quantum-dot nanostructures.","Jamshidnejad, M; Jabbari, M; Sangachin, EA; Solookinejad, G",0,45,LASER PHYSICS,Controlling Goos-Hanchen shift in a negative-refractive-index quantum-dot nanostructure,2017
"We show that a strongly enhanced coupling of spatially propagating electromagnetic waves to self-guiding unidirectional edge states (UESs) can be achieved by engineering a magnetic plasmonic gradient metasurface (GMS) made of an array of ferrite rods. The conversion efficiency of the incident photons into self-guiding UESs exhibits a transition from zero on an ordinary periodic surface to nearly 80 % on a surface incorporating a GMS. The underlying physics lies in that the magnetic plasmonic GMS enables a direct excitation of the edge states due to the band-folding or momentum compensation effect, which are in turn transformed into the self-guiding UESs on the ordinary periodic surface. The excitation of the UESs can also be revealed by considering the partial wave scattering amplitudes of the constituent rods on the surface, which manifests a change from a standing wave in the region subject to an external illumination to a self-guiding wave propagating and confined on the surface, a signature of UESs. The magnetic plasmonic GMS can also be used to implement the unidirectional phase control of the UES and the nonreciprocal Goos-Hanchen shift as a consequence of the time-reversal-symmetry breaking nature of the system and the strong coupling of the incident wave. In addition, the unidirectional features are shown to be flexibly controlled by either tailoring the gradient or tuning the external magnetic field, adding considerably to the performance of the magnetic plasmonic GMS systems.","Chen, HJ; Lu, WL; Li, JJ; Yu, JJ; Lin, ZF; Chan, CT; Liu, SY",2,66,PLASMONICS,Manipulating Unidirectional Edge States Via Magnetic Plasmonic Gradient Metasurfaces,2017
"We have coupled a nano-focused synchrotron beam into a planar x-ray waveguide structure through a thinned cladding, using the resonant beam coupling (RBC) geometry, which is well established for coupling of macroscopic x-ray beams into x-ray waveguides. By reducing the beam size and using specially designed waveguide structures with multiple guiding layers, we can observe two reflected beams of similar amplitudes upon resonant mode excitation. At the same time, the second reflected beam is shifted along the surface by several millimeters, constituting a exceptionally large Goos-Hanchen effect. We evidence this effect based on its characteristic far-field patterns resulting from interference of the multiple reflected beams. The experimental results are in perfect agreement with finite-difference simulations. (c) 2017 Optical Society of America","Zhong, Q; Melchior, L; Peng, JC; Huang, QS; Wang, ZS; Salditt, T",0,38,OPTICS EXPRESS,Goos-Hanchen effect observed for focused x-ray beams under resonant mode excitation,2017
"Generalization of Fractional Schrodinger equation (FSE) into optics is fundamentally important, since optics usually provides a fertile ground where FSE-related phenomena can be effectively observed. Beam propagation management is a topic of considerable interest in the field of optics. Here, we put forward a simple scheme for the realization of propagation management of light beams by introducing a double-barrier potential into the FSE. Transmission, partial transmission/reflection, and total reflection of light fields can be controlled by varying the potential depth. Oblique input beams with arbitrary distributions obey the same propagation dynamics. Some unique properties, including strong self-healing ability, high capacity of resisting disturbance, beam reshaping, and Goos-Hanchen-like shift are revealed. Theoretical analysis results are qualitatively in agreements with the numerical findings. This work opens up new possibilities for beam management and can be generalized into other fields involving fractional effects.","Huang, CM; Dong, LW",1,36,SCIENTIFIC REPORTS,Beam propagation management in a fractional Schrodinger equation,2017
"Highly tunable enhanced lateral displacements in the center of gravity of a totally reflected light beam from a graphene plasmonic metasurface are investigated. Multiple reflections of the incident beam, and the resonance coupling between the incident beam and the surface modes of the graphene metasurface in each reflection, are employed to enhance the Goos-Hanchen and Imbert-Fedorov shifts in the proposed structure. It is shown that spatial Goos-Hanchen and Imbert-Fedorov shifts as high as 1089 lambda(0) and -44.66 lambda(0) (lambda(0): incident wavelength) are achievable in the proposed structure. The effects of different parameters, including the incident beam waist, temperature, the scattering time, and the chemical potential of the graphene, on the shift values are then studied. Because of the strong light confinement in the surface modes of the graphene metasurface, the dispersion properties of these modes, and, therefore, the coupling strength between the incident beam and these modes, are highly sensitive to the parameters of the reflecting structure and the incident beam itself. The high sensitivity of the coupling strength between the incident beam and the surface modes is then exploited to tune the shift values. It is shown that by introducing a small change of Delta mu(C) = 0.02 eV in the chemical potential of the graphene, the spatial Goos-Hanchen and Imbert-Fedorov shift variations of 855 lambda(0) and -31 lambda(0) can be achieved, respectively. The wide range of lateral shift variations along with the relatively small required actuation power support the application of the proposed structure in the realization of optical devices, such as temperature sensors and switches. (C) 2017 Optical Society of America","Farmani, A; Miri, M; Sheikhi, MH",9,55,JOURNAL OF THE OPTICAL SOCIETY OF AMERICA B-OPTICAL PHYSICS,Tunable resonant Goos-Hanchen and Imbert-Fedorov shifts in total reflection of terahertz beams from graphene plasmonic metasurfaces,2017
